issue_key,existence,property,executive,summary,description,issue_type,status,resolution,priority,labels,components,created,updated,resolved,votes,watchers,parent_key,comment_count,attachment_count
TIKA-3416,True,False,False,Extract logical images from PDFs,"PDFs, bless their hearts, can store a logical image as hundreds or thousands of subimages that when rendered, look like one image.  

We currently have the option to let the user render the page and run OCR on that rendered image, or the user can extract inline images (and optionally run OCR on those extracted images).  

Processing inline images, e.g. running OCR, can lead to surprising behavior and user tears (for those paying attention), not only because of this split image issue but also because PDFs can add filters and other modifiers to an image so that the image as stored in the PDF may not look at all like the image as rendered in a PDF.

There has to be a happier medium, and the user should be able to get back the renderings in, e.g., the /unpack endpoint (see TIKA-3348).

It would be handy for some use cases to do the geometry to find bounding boxes for image components and then render those bounding boxes so that a human gets a ""logical image"" <hand_waving>most of the time</hand_waving>.

There would have to be some heuristics for when to give up and just render the whole page, but I think we could do something that performed well enough.  More importantly, I'm sure this is a solved problem...any recs for efficient algorithms for this?

What do you think?

",New Feature,Open,,Major,,,2021-05-24T16:45:08.427+0000,2021-05-24T17:46:25.583+0000,,0,2,,1,0
TIKA-3375,False,True,True,Release new version,"Hello,

It seems that Tika v1.26 is using apache cxf 3.4.2. It was discovered somewhat recently that there is a vulnerability in that particular library and a fix has been made in 3.4.3. See CVE-2021-22696 for more details. 

It looks like there is already a fix in the main branch performed in the following commit: [https://github.com/apache/tika/commit/cacde72bb5dea1c4dd6de1e796ced32b8708fa57]

Is it possible to get Tika v1.27 released so this vulnerability can be mitigated? 

Thanks!",Wish,Open,,Major,,,2021-04-28T15:16:59.355+0000,2021-04-28T16:18:20.441+0000,,0,3,,4,0
TIKA-3370,False,True,False,Refactor the AsyncProcessor in 2.x,"Yesterday, I finally got back to trying to wire the AsyncProcessor in tika-pipes into the AsyncHandler in tika-server.  I've now convinced myself that the notorious antipattern of using a db as a queue is in fact a really, really bad idea -- there's every chance that I wasn't doing it right or that H2 isn't a great choice...my $ is on the former.

Nevertheless, I think removing H2 from that process and going with a modification of our ForkParser or a lightweight purpose-built knock-off to handle fetchers and emitters will be as robust, a bunch cleaner, have fewer dependencies and hopefully be more performant than what I had in the AsyncProcessor.

Immediate term, I'd like to get this running and wired into tika-server.  Longer term, we can use this instead of tika-batch in tika-app...more use, fewer bugs.

This is the last item I'd like to finish before 2.0.0-BETA.",Task,Resolved,Fixed,Major,,,2021-04-24T11:31:40.271+0000,2021-05-11T14:44:00.811+0000,2021-05-11T14:44:00.740+0000,0,2,,4,0
TIKA-3352,True,False,False,Add a handler for json output from the /tika endpoint,"I've been focusing mostly on the {{/rmeta}} endpoint.  However, for many users who aren't enthusiasts of the wild and crazy things that can happen with embedded files (e.g., the rest of the world), it would be useful to have some of the advantages of the /rmeta endpoint without the complexity.

This would allow text + metadata in the response (for those who don't want to parse the xhtml).  It would include ""late metadata"", that is metadata that is only added after the content extraction has begun, which does not appear in our usual xhtml output.  This would enable storing the stacktrace (if the -s/--stackTrace commandline option is selected) in a field (as is done in /rmeta) so that users would get what they could from a failed parse and be able to align parse exceptions with the detected mime type.

Unlike /rmeta, this proposal would not include stacktraces from embedded files.",Task,Resolved,Fixed,Major,,,2021-04-13T18:57:11.800+0000,2021-04-14T15:06:24.711+0000,2021-04-14T13:54:34.304+0000,0,2,,2,0
TIKA-3348,True,False,False,Improve the workflow for extracting and returning images from PDFs and other containers using Tika Server..,"There's a set of bumps in the road to navigate when extracting images from PDFs, retrieving them and managing the metadata using Tika Server.

The first is knowing that /unpack will do the basic job and return the embedded objects in a zip file (presuming setExtractInlineImages is True). Documenting this clearly in the Tika Server wiki page would help people enormously.

But processing those images after they've been extracted will either need inspecting with another tool or using /rmeta to return the mime types and the rest of the metadata.

This means that multiple passes need to be made over the same file and the same processes of extraction, identification and temporary storage will be made over.

The server processes of /rmeta and /unpack need to be melded. The simplest may be to generate /rmeta metadata in the __META__ file object added to the returned zip file. A more complicated but perhaps more hypermedia way would be to use Content Negotiation and indicate an Accept application/zip in the /rmeta request.

I've indicated a Fix version of 2.0 because it is if not a breaking change a considerable one.

I'm available for Help Wanted, if that helps.

 ",Improvement,Open,,Major,,server,2021-04-06T16:51:58.615+0000,2021-07-22T11:49:09.156+0000,,0,2,,5,0
TIKA-3325,True,False,False,Add header to limit extracted content,"In Tika server, it would be very useful to handle a new header in the requests of the /rmeta endpoint, that would allow to define a bytes limitation of the data content extracted from documents.

For example the header ""writeLimit: 1000000"" would guarantee that the ""X-TIKA:content"" metadata object would not exceed 1000000 bytes",Improvement,Resolved,Fixed,Major,,server,2021-03-16T13:03:28.547+0000,2021-04-26T19:17:04.394+0000,2021-03-24T16:10:48.570+0000,0,3,,7,0
TIKA-3313,False,True,False,Improve performance and usability of RereadableInputStream,"I was challenged by the following comment in RereadableInputStream:
{code:java}
// TODO: At some point it would be better to replace the current approach
 // (specifying the above) with more automated behavior. The stream could
 // keep the original stream open until EOF was reached. For example, if:
 //
 // the original stream is 10 bytes, and
 // only 2 bytes are read on the first pass
 // rewind() is called
 // 5 bytes are read
 //
 // In this case, this instance gets the first 2 from its store,
 // and the next 3 from the original stream, saving those additional 3
 // bytes in the store. In this way, only the maximum number of bytes
 // ever needed must be saved in the store; unused bytes are never read.
 // The original stream is closed when EOF is reached, or when close()
 // is called, whichever comes first. Using this approach eliminates
 // the need to specify the flag (though makes implementation more complex).{code}

Challenge accepted

",Improvement,Resolved,Fixed,Major,,,2021-03-04T19:13:43.049+0000,2021-03-15T22:09:40.143+0000,2021-03-15T21:22:35.929+0000,0,3,,9,0
TIKA-3304,False,True,False,Improve robustness of async processing in 2.x,,Task,Resolved,Fixed,Major,,tika-pipes,2021-02-19T22:16:40.901+0000,2021-03-26T22:45:19.760+0000,2021-03-26T21:53:02.709+0000,0,3,,5,0
TIKA-3301,False,True,False,Simplify forking/monitoring in tika-server for 2.x,"In looking back at the code for tika-server's forking process and monitoring. We can simplify it quite a bit and make restarts more timely and efficient.

We should change a few Thread.sleep calls to process.waitFor() so that we're notified instantly if a forked process dies.

We don't need the pinging communication via stdout/stdin between forking and forked.  The forking process can monitor the forked process via the forkedstatusfile and watching for an exit value on the process.  The forked process can monitor its parent by blocking on a read of stdin. ",Task,Resolved,Fixed,Minor,,,2021-02-16T16:48:59.805+0000,2021-02-17T21:44:43.028+0000,2021-02-16T17:21:20.100+0000,0,2,,2,0
TIKA-3270,True,False,False,Render non-text in PDFs for OCR,"When we render a PDF page for OCR, we are relying on PDFBox to render all of the contents of the page, including text that may be available via regular extraction methods.

The result of this is that if a user selects ocr_and_text, there can be duplicate text -- text as stored in PDFs and the text generated via OCR.  In the xhtml output, we do mark a separate ""div"" for OCR so that users can distinguish, but still, it might be useful not to have to run OCR on text that was reliably extracted.

One solution to this was proposed by [~lfcnassif] on TIKA-3258, with a technical/implementation recommendation by [~tilman] to subclass PDFRenderer and PageDrawer to render only the image components of a page.

This would be a new, non-breaking feature.  This is not a blocker on 2.0.0.",Improvement,Resolved,Fixed,Major,,,2021-01-12T15:41:17.206+0000,2023-10-03T19:57:14.533+0000,2023-10-03T19:57:14.525+0000,0,5,,11,4
TIKA-3242,False,True,False,Allow users to send arbitrary metadata to tika-server per document,"As we potentially move towards implementing an emitter framework, it will be useful to allow users to send metadata to be included in the output for each file.  We can accomplish this fairly easily via httpheaders.",Task,Resolved,Fixed,Minor,,,2020-12-01T21:06:44.252+0000,2020-12-16T22:43:37.010+0000,2020-12-16T20:53:40.550+0000,0,2,,2,0
TIKA-3237,False,True,False,Great optimization in ForkParser,"There is a huge overhead in ForkParser ContentHandlerProxy and ContentHandlerResource read/write char[]/string methods. A simple change to not loop reading/writing each char of strings can result in speed ups of several orders of magnitude.

 

Tests with ~10k small RFC822 files (22MB), 24 parsing threads, have shown parse times below:

ForkParser off: 4s

ForkParser on: 30min

ForkParser patched: 17s

 

Also, there is a bug when running at least with Oracle JDK8 that, if a String greater than 65535 chars is written, a UTFDataFormatException is thrown from DataOutputStream.writeUTF(String) method.",Improvement,Resolved,Fixed,Major,,core,2020-11-26T18:22:13.459+0000,2021-04-12T12:59:22.262+0000,2020-11-26T20:25:26.785+0000,0,2,,4,0
TIKA-3236,False,True,True,Upgrade cxf-core to 3.3.8,"cxf-core has a known vulnerability in 3.3.6.

https://nvd.nist.gov/vuln/detail/CVE-2020-13954",Task,Resolved,Fixed,Minor,,parser,2020-11-24T09:19:50.024+0000,2020-11-24T13:15:46.324+0000,2020-11-24T13:15:46.248+0000,0,1,,1,0
TIKA-3232,False,True,True,security vulnerability in dependencies,"Our team runs BlackDuck to find security vulnerabilities and Tika 1.24.1 was flagged in a recent scan for two libraries that it includes.  Here is information about the two libraries which have vulnerabilities and have been recently patched which Tika needs to upgrade to:

 

Apache HttpClient v4.5.12

The recommendation is to upgrade 4.5.13.  I cannot find a CVE number however the BlackDuck tool has pointed to the following changeset that was made in the 4.5.13 version that addresses the vulnerability

[https://github.com/apache/httpcomponents-client/commit/e628b4c5c464c2fa346385596cc78e035a91a62e]

 

jackson-databind 2.10.3

The recommendation is to upgrade to 2.11.3.  The issue was CVE-2020-25649",Bug,Resolved,Fixed,Major,,,2020-11-19T21:04:33.397+0000,2020-11-19T22:06:07.795+0000,2020-11-19T21:43:48.138+0000,0,1,,2,0
TIKA-3226,True,False,False,Add custom connector endpoint,"Let's say you call the following api to parse a file and get its metadata and body content:

{code}
/rmeta/text
{code}

In order to do this, the caller needs to send the file to the tika server, then get the metadata and body sent to the caller. When you are working in microservices, this causes a lot of inner-service network communication.

You can cut down on a majority of this overhead by using the local file system optimization. So that you send a file path instead of the entire file. But this obviously only works when you are on the same machine.

Ideally - we would have a way to deploy ""connector plugins"" into tika, and be able to send files to be parsed with these plugins (asynchronously?).

{code}
/connector/{fetcherId}/{emitterId}
{code}

The Fetcher interface:

init(Map initParams)
  - initializes the fetcher (for example, initialize an http connection pool, etc)

void fetch(Map parseParams, Metadata metadata, OutputStream bodyOutputStream)
  - fetches the document indicated by parseParams and does whatever it is you want with it (for example, download a file from a web data source, then index the document into Solr). Sends the body to bodyOutputStream and metadata object will be populated with the metadata).

The Emitter interface would be 

init(Map initParams)
  - initializes the emitter. (for example, initialize a buffer to store output documents to solr, connect to solr, etc)

void emit(Map parseParams, Fetcher fetcher)
  - fetches and parses the ""document"" using the passed in fetcher, then emits it meaningfully.

We could provide the most common fetchers and emitters such as:

HttpFetcher
S3Fetcher
SolrEmitter
...

",New Feature,Resolved,Fixed,Major,,server,2020-11-11T17:36:22.976+0000,2021-01-28T20:42:35.860+0000,2021-01-26T20:33:17.561+0000,0,4,,13,0
TIKA-3216,True,False,False,Add FileProfiler to tika-eval,"So far, tika-eval has been focused on processing ""extracts"", that is, the result of Tika or another text extractor.  I think it would be useful to add a basic FileProfiler that handles the raw input files only but does not parse them.  This is useful as a first step when profiling a directory of files before going through the costly process of parsing.

Without parsing, we can get file length, digest and file type detection.",Task,Resolved,Fixed,Major,,,2020-10-29T20:58:58.776+0000,2020-10-30T20:32:07.532+0000,2020-10-30T19:08:59.090+0000,0,2,,2,0
TIKA-3176,False,True,False,Tika 2.0.0 -- Modularize language detectors,"For 2.0.0, it'd be nice to do for language detection what we did for parsers.  Create a parent module and then a submodule for each language detector so that users don't have to bring in all the dependencies of all lang-detectors if they only want one.",Improvement,Resolved,Fixed,Blocker,2.0.0,,2020-08-21T15:37:38.055+0000,2020-09-08T14:56:30.583+0000,2020-09-08T14:56:30.497+0000,1,3,,3,0
TIKA-3143,True,False,True,Enable custom resources and writers in tika-server,"We've put in a fair amount of work into the configuration and robustness of tika-server.  I think it would be useful to enable users and even other modules within Tika to add custom handlers within tika-server and to get the configuration and robustness ""for free.""

My initial use case would be a handler for tika-eval.  I see this functionality, tho, supporting the ""forwarding"" handlers that could be used as a replacement for Solr's DIH.

I don't want to integrate any of the above into the main tika-server, but I do want to make them possible.

Again, the answer to the ""why not just let folks create their own services/servers"" is that I'd like to prevent developers from having to reinvent some of the wheels that we've reinvented already. :D",Task,Open,,Major,,,2020-07-20T17:01:11.303+0000,2020-07-20T17:09:16.150+0000,,0,1,,1,0
TIKA-3137,True,True,False,Enable a metadata filter for the RecursiveParserWrapper,"The RecursiveParserWrapper is designed to extract all metadata from every embedded file.  Some users may need more targeted ways of filtering the metadata to save on resources, e.g. memory, disc or transfer-size/bandwidth in tika-server.

Some use cases that come to mind:
* A user only wants the title, author and content fields.
* A user doesn't want content from EMF files, but does want the content from a PDF embedded inside an EMF file.
* This could be an avenue for text-based enrichment, e.g. run NER on the content field and add those recognized entities to the Metadata; or tika-eval statistics...

The last point may require further discussion.  We have some handlers that require buffering the full text of a document and then running extraction (Phone number extractor?).  The downside to this is that we're storing two copies of the data in memory.  For at least the RPW, it would be more efficient to do postprocessing on the one buffered copy.

Some open questions: how do we configure the choice of filter(s), do we apply this to the AutoDetectParser...",Task,Resolved,Fixed,Major,,,2020-07-16T15:04:51.946+0000,2020-07-17T19:26:32.026+0000,2020-07-17T17:19:10.174+0000,0,4,,6,0
TIKA-3062,False,True,False,Improve attachment alignment in tika-eval,"We noticed in the last few runs that there are areas for improvement in alignment of attachments in tika-eval.  Different extractors or different versions can extract different numbers of attachments with different names in different orders, sometimes even with different digests.

We should increase the trust on digests if they exist, and decrease the reliance on matching embedded file names. ",Task,Open,,Major,,,2020-03-06T19:30:56.044+0000,2020-03-06T22:15:09.532+0000,,0,2,,2,0
TIKA-3083,True,False,True,Consider adding a fuzzing module,"I think it would be useful to add a new module for fuzzing.  We should eventually integrate grownup/mature fuzzers (jqf), but we can start with cheap 'n easy mangling.

The reason to add this to tika and not have it as a separate project, is that I think there will eventually be file format specific fuzzers for file formats that rely on compressed streams, e.g. PDF, docx, where mangling a literal byte in the file is a good first step, but it might also be useful to mangle bytes within the streams or implement faulty/malicious compressors or inject malfeasance at other levels.

I'm not set on adding this to Tika.  If there are objections/recommendations, please share.
",Task,Resolved,Fixed,Major,,,2020-04-02T16:48:38.292+0000,2025-10-06T13:31:47.826+0000,2020-04-03T21:46:16.673+0000,0,2,,3,0
TIKA-3054,False,True,True,[Dependency] Cross-site Scripting (XSS) in org.apache.cxf:cxf-rt-transports-http 3.3.2,"This issue has been created automatically by a source code scanner
## Third party component with known security vulnerabilities
ent-search-master/script/vendor_jars > Jars.lock > org.apache.cxf:cxf-rt-transports-http@3.3.2
## Overview

[org.apache.cxf:cxf-rt-transports-http](http://cxf.apache.org/index.html) is an open source services framework.


Affected versions of this package are vulnerable to Cross-site Scripting (XSS).
By default, Apache CXF creates a /services page containing a listing of the available endpoint names and addresses. This webpage is vulnerable to a reflected Cross-Site Scripting (XSS) attack, which allows a malicious actor to inject javascript into the web page. Please note that the attack exploits a feature which is not typically not present in modern browsers, who remove dot segments before sending the request. However, Mobile applications may be vulnerable.

## Details
A cross-site scripting attack occurs when the attacker tricks a legitimate web-based application or site to accept a request as originating from a trusted source.

This is done by escaping the context of the web application; the web application then delivers that data to its users along with other trusted dynamic content, without validating it. The browser unknowingly executes malicious script on the client side (through client-side languages; usually JavaScript or HTML)  in order to perform actions that are otherwise typically blocked by the browser’s Same Origin Policy.

ֿInjecting malicious code is the most prevalent manner by which XSS is exploited; for this reason, escaping characters in order to prevent this manipulation is the top method for securing code against this vulnerability.

Escaping means that the application is coded to mark key characters, and particularly key characters included in user input, to prevent those characters from being interpreted in a dangerous context. For example, in HTML, `<` can be coded as  `&lt`; and `>` can be coded as `&gt`; in order to be interpreted and displayed as themselves in text, while within the code itself, they are used for HTML tags. If malicious content is injected into an application that escapes special characters and that malicious content uses `<` and `>` as HTML tags, those characters are nonetheless not interpreted as HTML tags by the browser if they’ve been correctly escaped in the application code and in this way the attempted attack is diverted.
 
The most prominent use of XSS is to steal cookies (source: OWASP HttpOnly) and hijack user sessions, but XSS exploits have been used to expose sensitive information, enable access to privileged services and functionality and deliver malware. 

### Types of attacks
There are a few methods by which XSS can be manipulated:

|Type|Origin|Description|
|--|--|--|
|**Stored**|Server|The malicious code is inserted in the application (usually as a link) by the attacker. The code is activated every time a user clicks the link.|
|**Reflected**|Server|The attacker delivers a malicious link externally from the vulnerable web site application to a user. When clicked, malicious code is sent to the vulnerable web site, which reflects the attack back to the user’s browser.| 
|**DOM-based**|Client|The attacker forces the user’s browser to render a malicious page. The data in the page itself delivers the cross-site scripting data.|
|**Mutated**| |The attacker injects code that appears safe, but is then rewritten and modified by the browser, while parsing the markup. An example is rebalancing unclosed quotation marks or even adding quotation marks to unquoted parameters.|

### Affected environments
The following environments are susceptible to an XSS attack:

* Web servers
* Application servers
* Web application environments

### How to prevent
This section describes the top best practices designed to specifically protect your code: 

* Sanitize data input in an HTTP request before reflecting it back, ensuring all data is validated, filtered or escaped before echoing anything back to the user, such as the values of query parameters during searches. 
* Convert special characters such as `?`, `&`, `/`, `<`, `>` and spaces to their respective HTML or URL encoded equivalents. 
* Give users the option to disable client-side scripts.
* Redirect invalid requests.
* Detect simultaneous logins, including those from two separate IP addresses, and invalidate those sessions.
* Use and enforce a Content Security Policy (source: Wikipedia) to disable any features that might be manipulated for an XSS attack.
* Read the documentation for any of the libraries referenced in your code to understand which elements allow for embedded HTML.

## Remediation

Upgrade `org.apache.cxf:cxf-rt-transports-http` to version 3.2.12, 3.3.5 or higher.


## References

- [Apache Security Advisory](http://cxf.apache.org/security-advisories.data/CVE-2019-17573.txt.asc?version=1&modificationDate=1579178542000&api=v2)

- [GitHub Commit](https://github.com/apache/cxf/commit/a02e96ba1095596bef481919f16a90c5e80a92c8)

- [SNYK-JAVA-ORGAPACHECXF-542666](https://snyk.io/vuln/SNYK-JAVA-ORGAPACHECXF-542666)
",Bug,Resolved,Fixed,Major,,,2020-02-21T10:31:49.865+0000,2020-02-24T18:52:33.327+0000,2020-02-24T18:52:33.261+0000,0,1,,0,0
TIKA-3053,False,True,True,Denial of Service (DoS) in org.apache.cxf:cxf-core 3.3.2,"This issue has been created automatically by a source code scanner
## Third party component with known security vulnerabilities
ent-search-master/script/vendor_jars > Jars.lock > org.apache.cxf:cxf-core@3.3.2
## Overview

[org.apache.cxf:cxf-core](https://github.com/apache/cxf) is a an open source services framework. CXF helps you build and develop services using frontend programming APIs, like JAX-WS and JAX-RS.


Affected versions of this package are vulnerable to Denial of Service (DoS).
Apache CXF does not restrict the number of message attachments present in a given message. This leaves open the possibility of a denial of service type attack, where a malicious user crafts a message containing a very large number of message attachments.

## Details
Denial of Service (DoS) describes a family of attacks, all aimed at making a system inaccessible to its intended and legitimate users.

Unlike other vulnerabilities, DoS attacks usually do not aim at breaching security. Rather, they are focused on making websites and services unavailable to genuine users resulting in downtime.

One popular Denial of Service vulnerability is DDoS (a Distributed Denial of Service), an attack that attempts to clog network pipes to the system by generating a large volume of traffic from many machines.

When it comes to open source libraries, DoS vulnerabilities allow attackers to trigger such a crash or crippling of the service by using a flaw either in the application code or from the use of open source libraries.

Two common types of DoS vulnerabilities:

* High CPU/Memory Consumption- An attacker sending crafted requests that could cause the system to take a disproportionate amount of time to process. For example, [commons-fileupload:commons-fileupload](SNYK-JAVA-COMMONSFILEUPLOAD-30082).

* Crash - An attacker sending crafted requests that could cause the system to crash. For Example,  [npm `ws` package](npm:ws:20171108)

## Remediation

Upgrade `org.apache.cxf:cxf-core` to version 3.3.4, 3.2.11 or higher.


## References

- [CXF Security Advisory](http://cxf.apache.org/security-advisories.data/CVE-2019-12406.txt.asc)

- [SNYK-JAVA-ORGAPACHECXF-480439](https://snyk.io/vuln/SNYK-JAVA-ORGAPACHECXF-480439)
",Bug,Closed,Fixed,Major,,,2020-02-21T10:28:24.052+0000,2020-02-21T10:29:43.414+0000,2020-02-21T10:29:43.338+0000,0,1,,1,0
TIKA-3019,False,True,True,[9.8] [CVE-2019-17571] [tika-app] [1.23],"*Description :*
*Severity :* Sonatype CVSS 3: 9.8CVE CVSS 2.0: 0.0

*Weakness :* Sonatype CWE: 502

*Source :* National Vulnerability Database

*Categories :* Data

*Description from CVE :* Included in Log4j 1.2 is a SocketServer class that is vulnerable to deserialization of untrusted data which can be exploited to remotely execute arbitrary code when combined with a deserialization gadget when listening to untrusted network traffic for log data. This affects Log4j versions up to 1.2 up to 1.2.17.

*Explanation :* The log4j:log4j package is vulnerable to Remote Code Execution [RCE] due to Deserialization of Untrusted Data. The configureHierarchy and genericHierarchy methods in SocketServer.class do not verify if the file at a given file path contains any untrusted objects prior to deserializing them. A remote attacker can exploit this vulnerability by providing a path to crafted files, which result in arbitrary code execution when deserialized.
NOTE: Starting with version[s] 2.x, log4j:log4j was relocated to org.apache.logging.log4j:log4j-core. A variation of this vulnerability exists in org.apache.logging.log4j:log4j-core as CVE-2017-5645, in versions up to but excluding 2.8.2.

*Detection :* The application is vulnerable by using this component.

*Recommendation :* Starting with version[s] 2.x, log4j:log4j was relocated to org.apache.logging.log4j:log4j-core. A variation of this vulnerability exists in org.apache.logging.log4j:log4j-core as CVE-2017-5645, in versions up to but excluding 2.8.2. Therefore,it is recommended to upgrade to org.apache.logging.log4j:log4j-core version[s] 2.8.2 and above. For log4j:log4j 1.x versions however, a fix does not exist.

*Root Cause :* tika-app-1.23.jarorg/apache/log4j/net/SocketServer.class : [,]

*Advisories :* Project: [https://bugzilla.redhat.com/show_bug.cgi?id=1785616]

*CVSS Details :* Sonatype CVSS 3: 9.8CVSS Vector: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",Bug,Open,,Major,,tika-batch,2019-12-30T12:11:02.916+0000,2020-01-15T15:40:48.970+0000,,0,8,,7,0
